Upregulated
Ensembl_t_id	Ensembl_p_id	Gene_symbol	Symbol	Description	Fold	PPEE	case control expected_counts	
ENSRNOG00000005569	ENSRNOT00000007352	ENSRNOP00000007352	PHOSPHO1	Phospho1	phosphatase, orphan 1 [Source:RGD Symbol;Acc:1306182]	-1.811335747	9.92E-06	434	844
ENSRNOG00000001128	ENSRNOT00000001490	ENSRNOP00000001490	TESC	Tesc	tescalcin [Source:RGD Symbol;Acc:1566317]	-1.7899028	1.04E-05	498	957
ENSRNOG00000059211	ENSRNOT00000084584	-	AABR07036301.1	AABR07036301.1	-	-2510.277147	1.12E-05	0	26
ENSRNOG00000026953	ENSRNOT00000037068	ENSRNOP00000038233	GPR88	Gpr88	G-protein coupled receptor 88 [Source:RGD Symbol;Acc:61921]	-2.116186222	1.13E-05	136	309
ENSRNOG00000015913	ENSRNOT00000021381	ENSRNOP00000021381	TSPAN5	Tspan5	tetraspanin 5 [Source:RGD Symbol;Acc:1303176]	-1.681024606	1.16E-05	2720	4909
ENSRNOG00000025463	ENSRNOT00000028972	ENSRNOP00000062036	LOC100125362	LOC100125362	hypothetical protein LOC100125362 [Source:RGD Symbol;Acc:1642426]	-1.676447329	1.16E-05	4417	7950
ENSRNOG00000008533	ENSRNOT00000011898	ENSRNOP00000011898	AGO2	Ago2	argonaute RISC catalytic component 2 [Source:RGD Symbol;Acc:621255]	-1.758284077	1.61E-05	579	1093
ENSRNOG00000004013	ENSRNOT00000088861	ENSRNOP00000073984	GRIP1	Grip1	glutamate receptor interacting protein 1 [Source:RGD Symbol;Acc:621667]	-1.798567933	1.72E-05	423	816.81
ENSRNOG00000019129	ENSRNOT00000057122	ENSRNOP00000053950	FCGBP	Fcgbp	Fc fragment of IgG binding protein [Source:RGD Symbol;Acc:2313189]	-2.597930981	1.73E-05	57	159
ENSRNOG00000006729	ENSRNOT00000008886	ENSRNOP00000008886	SLC24A4	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4 [Source:RGD Symbol;Acc:1305926]	-1.790869939	1.82E-05	440	846
ENSRNOG00000013101	ENSRNOT00000017599	ENSRNOP00000017599	PCDH8	Pcdh8	protocadherin 8 [Source:RGD Symbol;Acc:69350]	-1.677459417	1.86E-05	1889	3402
ENSRNOG00000060528	ENSRNOT00000092024	ENSRNOP00000072061	CACNA1G	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:RGD Symbol;Acc:68942]	-1.679051042	1.94E-05	1728	3115
ENSRNOG00000026793	ENSRNOT00000031871	ENSRNOP00000036388	NT5DC3	Nt5dc3	5'-nucleotidase domain containing 3 [Source:RGD Symbol;Acc:1593358]	-1.672709263	1.95E-05	2170	3897
ENSRNOG00000047546	ENSRNOT00000071218	ENSRNOP00000067565	GAS2L2	Gas2l2	growth arrest-specific 2 like 2 [Source:RGD Symbol;Acc:1307868]	-2413.766487	2.09E-05	0	25
ENSRNOG00000037984	ENSRNOT00000003791	ENSRNOP00000003791	LOC100910414	LOC100910414	saccharopine dehydrogenase-like oxidoreductase-like [Source:RGD Symbol;Acc:6498566]	-1.850431927	2.49E-05	297.41	590.86
ENSRNOG00000038540	ENSRNOT00000040884	ENSRNOP00000047810	GP5	Gp5	glycoprotein V (platelet) [Source:RGD Symbol;Acc:2724]	-3.342757316	2.81E-05	26.91	96.6
ENSRNOG00000005033	ENSRNOT00000006963	ENSRNOP00000006963	ACVR1	Acvr1	activin A receptor, type I [Source:RGD Symbol;Acc:620200]	-1.704197383	2.91E-05	863	1579
ENSRNOG00000038365	ENSRNOT00000022097	ENSRNOP00000022097	PLEKHA2	Plekha2	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2 [Source:RGD Symbol;Acc:1586710]	-1.72053622	3.24E-05	685.9	1267
ENSRNOG00000005108	ENSRNOT00000034730	ENSRNOP00000032218	WFS1	Wfs1	Wolfram syndrome 1 (wolframin) [Source:RGD Symbol;Acc:68954]	-1.64674119	4.44E-05	9154	16184
ENSRNOG00000016734	ENSRNOT00000022424	ENSRNOP00000022424	EMILIN3	Emilin3	elastin microfibril interfacer 3 [Source:RGD Symbol;Acc:1309607]	-26.76285247	4.86E-05	1	29
ENSRNOG00000050278	ENSRNOT00000074361	ENSRNOP00000064718	LOC100911932	LOC100911932	endosialin-like [Source:RGD Symbol;Acc:6489729]	-2264.174965	5.46E-05	0	23.45
ENSRNOG00000052685	ENSRNOT00000080189	ENSRNOP00000073587	AABR07006105.1	AABR07006105.1	-	-2264.174965	5.46E-05	0	23.45
ENSRNOG00000017118	ENSRNOT00000046943	ENSRNOP00000049901	P4HA3	P4ha3	prolyl 4-hydroxylase, alpha polypeptide III [Source:RGD Symbol;Acc:735150]	-5.931921179	5.69E-05	8	51
ENSRNOG00000034025	ENSRNOT00000049832	ENSRNOP00000044688	PTPRJ	Ptprj	protein tyrosine phosphatase, receptor type, J [Source:RGD Symbol;Acc:3454]	-1.636295569	6.42E-05	3663	6435
ENSRNOG00000054362	ENSRNOT00000087249	-	AABR07066470.1	AABR07066470.1	-	-2.007545149	6.48E-05	148	319
ENSRNOG00000003997	ENSRNOT00000005332	ENSRNOP00000005332	PLD5	Pld5	phospholipase D family, member 5 [Source:RGD Symbol;Acc:1562609]	-3.352242597	6.50E-05	25	90
ENSRNOG00000017539	ENSRNOT00000088776	ENSRNOP00000069060	MMP9	Mmp9	matrix metallopeptidase 9 [Source:RGD Symbol;Acc:621320]	-2.383170583	6.90E-05	68	174
ENSRNOG00000040287	ENSRNOT00000082017	ENSRNOP00000071724	CYP1B1	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:RGD Symbol;Acc:2460]	-1.964415696	7.49E-05	165	348
ENSRNOG00000019846	ENSRNOT00000028967	ENSRNOP00000036806	MUC5B	Muc5b	mucin 5B, oligomeric mucus/gel-forming [Source:RGD Symbol;Acc:1561983]	-25.8403251	8.70E-05	1	28
ENSRNOG00000042374	ENSRNOT00000066341	ENSRNOP00000059063	TGIF2	Tgif2	TGFB-induced factor homeobox 2 [Source:RGD Symbol;Acc:1560115]	-2.461693631	0.000112811	57.76	152.67
ENSRNOG00000011951	ENSRNOT00000016768	ENSRNOP00000016768	PLK2	Plk2	polo-like kinase 2 [Source:RGD Symbol;Acc:620760]	-1.625754532	0.000113256	2577	4498
ENSRNOG00000022162	ENSRNOT00000029600	ENSRNOP00000029846	PBX3	Pbx3	pre-B-cell leukemia homeobox 3 [Source:RGD Symbol;Acc:1307198]	-1.724122883	0.000118322	470	870
ENSRNOG00000004697	ENSRNOT00000006411	ENSRNOP00000006411	BAALC	Baalc	brain and acute leukemia, cytoplasmic [Source:RGD Symbol;Acc:628703]	-1.617590707	0.000143393	3152	5474
ENSRNOG00000037225	ENSRNOT00000056243	ENSRNOP00000053086	TYMS	Tyms	thymidylate synthetase [Source:RGD Symbol;Acc:3921]	-2.335335476	0.000171922	67	168
ENSRNOG00000018554	ENSRNOT00000025031	-	AABR07026797.1	AABR07026797.1	-	-4.374893195	0.000181296	12.82	60.25
ENSRNOG00000007923	ENSRNOT00000010586	ENSRNOP00000010586	CGREF1	Cgref1	cell growth regulator with EF hand domain 1 [Source:RGD Symbol;Acc:620801]	-1.781021152	0.000192724	296	566
ENSRNOG00000043185	ENSRNOT00000067198	ENSRNOP00000062287	CNTNAP5C	Cntnap5c	contactin associated protein-like 5C [Source:RGD Symbol;Acc:1566343]	-2.147841486	0.000195485	92.98	214.42
ENSRNOG00000004110	ENSRNOT00000005774	ENSRNOP00000005774	TRIB2	Trib2	tribbles pseudokinase 2 [Source:RGD Symbol;Acc:1564451]	-1.695997475	0.000216446	508	925
ENSRNOG00000019822	ENSRNOT00000026871	ENSRNOP00000026871	GADD45B	Gadd45b	growth arrest and DNA-damage-inducible, beta [Source:RGD Symbol;Acc:1309080]	-1.80484335	0.00021962	257	498
ENSRNOG00000011019	ENSRNOT00000015961	ENSRNOP00000015961	FAAH	Faah	fatty acid amide hydrolase [Source:RGD Symbol;Acc:61808]	-2.44796283	0.000222041	55.12	144.88
ENSRNOG00000002980	ENSRNOT00000003992	ENSRNOP00000003992	TSR1	Tsr1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:RGD Symbol;Acc:2322150]	-1.698914905	0.000240395	482.1	879.35
ENSRNOG00000033528	ENSRNOT00000065642	ENSRNOP00000058943	TLL1	Tll1	tolloid-like 1 [Source:RGD Symbol;Acc:1306120]	-2.247692298	0.000241582	75	181
ENSRNOG00000003841	ENSRNOT00000076362	ENSRNOP00000068448	KCNH1	Kcnh1	potassium channel, voltage gated eag related subfamily H, member 1 [Source:RGD Symbol;Acc:68398]	-1.643756507	0.000246224	880	1553
ENSRNOG00000051905	ENSRNOT00000083039	ENSRNOP00000071025	WNT2	Wnt2	Protein Wnt2; Wingless-related MMTV integration site 2; Wingless-type MMTV integration site family member 2  [Source:UniProtKB/TrEMBL;Acc:Q2IBD1]	-1.794502978	0.000278524	259	499
ENSRNOG00000011369	ENSRNOT00000015707	ENSRNOP00000015707	KCNS2	Kcns2	potassium voltage-gated channel, modifier subfamily S, member 2 [Source:RGD Symbol;Acc:621525]	-1.755708764	0.000296694	313	590
ENSRNOG00000057038	ENSRNOT00000089390	-	AABR07029803.1	AABR07029803.1	-	-2.369249052	0.000310506	59.79	152.1
ENSRNOG00000030243	ENSRNOT00000044209	ENSRNOP00000047160	LRP1B	Lrp1b	low density lipoprotein receptor-related protein 1B [Source:RGD Symbol;Acc:1306160]	-2.128864826	0.000334489	91	208
ENSRNOG00000013953	ENSRNOT00000018961	ENSRNOP00000018961	NTRK1	Ntrk1	neurotrophic tyrosine kinase, receptor, type 1 [Source:RGD Symbol;Acc:620144]	-1.909670704	0.000357093	159	326
ENSRNOG00000030149	ENSRNOT00000048175	ENSRNOP00000039467	ADGRL3	Adgrl3	adhesion G protein-coupled receptor L3 [Source:RGD Symbol;Acc:620836]	-1.613702773	0.000360132	1286	2228
ENSRNOG00000060629	ENSRNOT00000089125	ENSRNOP00000068726	AABR07024041.2	AABR07024041.2	-	-3.874164127	0.000373994	15.5	64.5
ENSRNOG00000011141	ENSRNOT00000015516	ENSRNOP00000015516	SERPINA11	Serpina11	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11 [Source:RGD Symbol;Acc:1359239]	-4.569346541	0.000402957	11	54
ENSRNOG00000037672	ENSRNOT00000057157	ENSRNOP00000053985	AC129753.1	AC129753.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:D3ZJD4]	-1937.968936	0.000451215	0	20.07
ENSRNOG00000042899	ENSRNOT00000057120	ENSRNOP00000053948	FCGBPL1	Fcgbpl1	Fc fragment of IgG binding protein-like 1 [Source:RGD Symbol;Acc:1311906]	-23.072743	0.000499797	1	25
ENSRNOG00000019778	ENSRNOT00000026783	ENSRNOP00000026783	PTRF	Ptrf	polymerase I and transcript release factor [Source:RGD Symbol;Acc:1307685]	-1.638989475	0.000515718	699	1230
ENSRNOG00000018291	ENSRNOT00000024691	ENSRNOP00000024691	VKORC1L1	Vkorc1l1	vitamin K epoxide reductase complex, subunit 1-like 1 [Source:RGD Symbol;Acc:1303249]	-1909.015738	0.000544612	0	19.77
ENSRNOG00000054866	ENSRNOT00000085075	-	AC126640.1	AC126640.1	-	-2.119683682	0.000578191	87	198
ENSRNOG00000004207	ENSRNOT00000057601	ENSRNOP00000054411	EML5	Eml5	echinoderm microtubule associated protein like 5 [Source:RGD Symbol;Acc:1303275]	-1.589347349	0.0008095	1369	2336
ENSRNOG00000030180	ENSRNOT00000050716	ENSRNOP00000048468	LRRC10B	Lrrc10b	leucine rich repeat containing 10B [Source:RGD Symbol;Acc:1564983]	-1.578684335	0.000899801	1806	3061
ENSRNOG00000004229	ENSRNOT00000005679	ENSRNOP00000005679	TAC3	Tac3	tachykinin 3 [Source:RGD Symbol;Acc:3809]	-1.726860587	0.001288836	274	508
ENSRNOG00000047466	ENSRNOT00000090445	ENSRNOP00000073685	BDNF	Bdnf	brain-derived neurotrophic factor [Source:RGD Symbol;Acc:2202]	-1.618905852	0.00132977	630	1095
ENSRNOG00000010534	ENSRNOT00000045837	ENSRNOP00000043031	ANKRD50	Ankrd50	ankyrin repeat domain 50 [Source:RGD Symbol;Acc:1311665]	-1.621484082	0.001387043	602	1048
ENSRNOG00000042929	ENSRNOT00000067037	ENSRNOP00000059417	LOC100361087	LOC100361087	hypothetical LOC100361087 [Source:RGD Symbol;Acc:2320873]	-1.603483888	0.001525683	729	1255
ENSRNOG00000047387	ENSRNOT00000017718	ENSRNOP00000017718	LNPEP	Lnpep	leucyl/cystinyl aminopeptidase [Source:RGD Symbol;Acc:621752]	-2.590046751	0.001568643	37.47	104.21
ENSRNOG00000015691	ENSRNOT00000021001	ENSRNOP00000021001	FAM212B	Fam212b	family with sequence similarity 212, member B [Source:RGD Symbol;Acc:1306526]	-1.559350212	0.001579371	2317	3879
ENSRNOG00000012573	ENSRNOT00000057845	ENSRNOP00000054654	DLGAP2	Dlgap2	discs, large (Drosophila) homolog-associated protein 2 [Source:RGD Symbol;Acc:620224]	-1.583803652	0.001604044	988	1680
ENSRNOG00000017178	ENSRNOT00000080694	ENSRNOP00000070230	HYDIN	Hydin	Hydin, axonemal central pair apparatus protein [Source:RGD Symbol;Acc:1562254]	-1.720340538	0.001708618	268	495
ENSRNOG00000024711	ENSRNOT00000065145	ENSRNOP00000062573	SDK2	Sdk2	sidekick cell adhesion molecule 2 [Source:RGD Symbol;Acc:1310397]	-1.594475651	0.001834032	767	1313
ENSRNOG00000048118	ENSRNOT00000073183	ENSRNOP00000065662	ANKRA2	Ankra2	ankyrin repeat, family A (RFXANK-like), 2 [Source:RGD Symbol;Acc:1303108]	-2.017758053	0.00217076	92.3	199.96
ENSRNOG00000018804	ENSRNOT00000048298	ENSRNOP00000048390	FAM65B	Fam65b	family with sequence similarity 65, member B [Source:RGD Symbol;Acc:1306939]	-1.585961273	0.00257523	747.25	1272.36
ENSRNOG00000022082	ENSRNOT00000036247	ENSRNOP00000030319	DUSP11	Dusp11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:RGD Symbol;Acc:1307038]	-4.982226371	0.002834128	7.79	41.71
ENSRNOG00000009768	ENSRNOT00000013145	ENSRNOP00000013146	NPY	Npy	neuropeptide Y [Source:RGD Symbol;Acc:3197]	-1.807265507	0.002952562	163.99	318.2
ENSRNOG00000049071	ENSRNOT00000074912	ENSRNOP00000065015	PHYHIP	Phyhip	phytanoyl-CoA 2-hydroxylase interacting protein [Source:RGD Symbol;Acc:1305790]	-1.540103543	0.002983669	3046.03	5036.56
ENSRNOG00000060289	ENSRNOT00000090777	-	7SK	7SK	7SK RNA [Source:RFAM;Acc:RF00100]	-1633.960359	0.003267758	0	16.92
ENSRNOG00000016874	ENSRNOT00000079682	ENSRNOP00000068573	ZFP521	Zfp521	zinc finger protein 521 [Source:RGD Symbol;Acc:1307345]	-1.721705457	0.003420498	231	427
ENSRNOG00000025005	ENSRNOT00000031190	ENSRNOP00000034445	RGD1560672	RGD1560672	similar to novel protein [Source:RGD Symbol;Acc:1560672]	-2.483448207	0.003543276	39	104
ENSRNOG00000016180	ENSRNOT00000067823	ENSRNOP00000062054	PDP1	Pdp1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:RGD Symbol;Acc:620393]	-1.603919675	0.003699759	518	892
ENSRNOG00000057729	ENSRNOT00000085027	ENSRNOP00000068545	STRIP2	Strip2	striatin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2444363]	-1.583423726	0.003709316	660	1122
ENSRNOG00000012934	ENSRNOT00000017947	ENSRNOP00000017947	ARHGEF7	Arhgef7	Rho guanine nucleotide exchange factor (GEF) 7 [Source:RGD Symbol;Acc:620624]	-1.535641651	0.003763827	2411	3975
ENSRNOG00000007925	ENSRNOT00000089434	ENSRNOP00000075254	PAK6	Pak6	p21 protein (Cdc42/Rac)-activated kinase 6 [Source:RGD Symbol;Acc:1306213]	-1.543831979	0.003814501	1489	2468
ENSRNOG00000005561	ENSRNOT00000007578	ENSRNOP00000007578	BRINP1	Brinp1	bone morphogenetic protein/retinoic acid inducible neural-specific 1 [Source:RGD Symbol;Acc:708519]	-1.526621473	0.00487652	3953	6479
ENSRNOG00000061279	ENSRNOT00000041677	-	AABR07069611.1	AABR07069611.1	-	-3.571348459	0.004896601	14.4	55.24
ENSRNOG00000037613	ENSRNOT00000067677	ENSRNOP00000060247	KDM6B	Kdm6b	lysine (K)-specific demethylase 6B [Source:RGD Symbol;Acc:1307629]	-1.552725508	0.005448214	895	1492
ENSRNOG00000028624	ENSRNOT00000017784	ENSRNOP00000017784	KIF26B	Kif26b	kinesin family member 26B [Source:RGD Symbol;Acc:1560022]	-1.600698036	0.005468307	469	806
ENSRNOG00000002070	ENSRNOT00000002834	ENSRNOP00000002834	MRPL1	Mrpl1	mitochondrial ribosomal protein L1 [Source:RGD Symbol;Acc:1306850]	-1549.030978	0.005686681	0	16.04
ENSRNOG00000024832	ENSRNOT00000034098	ENSRNOP00000038884	GPR158	Gpr158	G protein-coupled receptor 158 [Source:RGD Symbol;Acc:1305841]	-1.527789534	0.005778275	1818	2982
ENSRNOG00000011803	ENSRNOT00000015705	ENSRNOP00000015705	LRFN2	Lrfn2	leucine rich repeat and fibronectin type III domain containing 2 [Source:RGD Symbol;Acc:1311831]	-1.628929123	0.005798398	361	631.34
ENSRNOG00000060341	ENSRNOT00000083236	-	AABR07031399.1	AABR07031399.1	-	-2.04901264	0.005881475	75	165
ENSRNOG00000018522	ENSRNOT00000025446	ENSRNOP00000025446	ECHS1	Echs1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:RGD Symbol;Acc:69330]	-1.626519652	0.006179989	361.3	630.93
ENSRNOG00000010635	ENSRNOT00000014153	ENSRNOP00000014153	IGFBP4	Igfbp4	insulin-like growth factor binding protein 4 [Source:RGD Symbol;Acc:2875]	-1.621080293	0.006861429	366	637
ENSRNOG00000020871	ENSRNOT00000081796	ENSRNOP00000073336	LTBP4	Ltbp4	latent transforming growth factor beta binding protein 4 [Source:RGD Symbol;Acc:1307033]	-1.534257883	0.00692385	1165	1919
ENSRNOG00000029184	ENSRNOT00000047310	ENSRNOP00000049409	EPHA6	Epha6	Eph receptor A6 [Source:RGD Symbol;Acc:1304614]	-1.53667447	0.007508706	1028	1696
ENSRNOG00000005478	ENSRNOT00000007821	ENSRNOP00000007821	FKBP9	Fkbp9	FK506 binding protein 9 [Source:RGD Symbol;Acc:1549757]	-1.537654391	0.00765567	991	1636
ENSRNOG00000018200	ENSRNOT00000024901	ENSRNOP00000024901	GAD2	Gad2	glutamate decarboxylase 2 [Source:RGD Symbol;Acc:2653]	-1.5146508	0.007661612	3242	5272
ENSRNOG00000002336	ENSRNOT00000003191	ENSRNOP00000003191	GABRA4	Gabra4	gamma-aminobutyric acid (GABA) A receptor, alpha 4 [Source:RGD Symbol;Acc:621670]	-1.514749071	0.007933155	2574	4186
ENSRNOG00000050578	ENSRNOT00000071737	ENSRNOP00000063915	RHEB	Rheb	Ras homolog enriched in brain [Source:RGD Symbol;Acc:621840]	-1.52861924	0.008289041	1176	1930
ENSRNOG00000055721	ENSRNOT00000086308	ENSRNOP00000071530	RNF128	Rnf128	Protein Rnf128; Rnf128 protein  [Source:UniProtKB/TrEMBL;Acc:B2RZ84]	-1.583037375	0.008290931	486	826
ENSRNOG00000020867	ENSRNOT00000090478	ENSRNOP00000074945	NUMBL	Numbl	numb homolog (Drosophila)-like [Source:RGD Symbol;Acc:1307579]	-1.513435651	0.008347135	2543	4132
ENSRNOG00000021569	ENSRNOT00000046486	ENSRNOP00000044001	TIAM1	Tiam1	T-cell lymphoma invasion and metastasis 1 [Source:RGD Symbol;Acc:1307455]	-1.513677518	0.008647168	2222	3611
ENSRNOG00000052925	ENSRNOT00000087619	ENSRNOP00000073398	AABR07059639.1	AABR07059639.1	-	-2.154065093	0.009478139	56.96	131.74
ENSRNOG00000036827	ENSRNOT00000055271	ENSRNOP00000052146	PPP1R1A	Ppp1r1a	protein phosphatase 1, regulatory (inhibitor) subunit 1A [Source:RGD Symbol;Acc:62018]	-1.513837342	0.00967841	1756	2854
ENSRNOG00000020424	ENSRNOT00000027681	ENSRNOP00000027681	PPAPDC1A	Ppapdc1a	phosphatidic acid phosphatase type 2 domain containing 1A [Source:RGD Symbol;Acc:1306289]	-1.681491879	0.010074284	226	408
ENSRNOG00000001658	ENSRNOT00000066940	ENSRNOP00000059308	KCNJ6	Kcnj6	potassium channel, inwardly rectifying subfamily J, member 6 [Source:RGD Symbol;Acc:2959]	-1.519433094	0.010226994	1291	2106
ENSRNOG00000049913	ENSRNOT00000026700	ENSRNOP00000026700	RBM12	Rbm12	RNA binding motif protein 12 [Source:RGD Symbol;Acc:1594333]	-2.543527148	0.010936546	31.52	86.09
ENSRNOG00000058083	ENSRNOT00000088597	-	LOC102723236	LOC102723236	RNA, 7SL, cytoplasmic 1 [Source:RGD Symbol;Acc:8157638]	-1.685577994	0.011338637	215.5	389.99
ENSRNOG00000061096	ENSRNOT00000082705	-	LOC102723236	LOC102723236	RNA, 7SL, cytoplasmic 1 [Source:RGD Symbol;Acc:8157638]	-1.685577994	0.011338637	215.5	389.99
ENSRNOG00000013587	ENSRNOT00000018234	ENSRNOP00000018234	FAM135A	Fam135a	family with sequence similarity 135, member A [Source:RGD Symbol;Acc:1304927]	-1.54993921	0.011442735	637	1060
ENSRNOG00000001368	ENSRNOT00000001844	ENSRNOP00000001844	RPH3A	Rph3a	rabphilin 3A [Source:RGD Symbol;Acc:620073]	-1.501908751	0.012210486	3703	5971
ENSRNOG00000033087	ENSRNOT00000048029	ENSRNOP00000048338	CDH23	Cdh23	cadherin-related 23 [Source:RGD Symbol;Acc:619760]	-1.632416581	0.012435787	287	503
ENSRNOG00000004084	ENSRNOT00000088687	ENSRNOP00000069863	FAM84A	Fam84a	family with sequence similarity 84, member A [Source:RGD Symbol;Acc:1305779]	-1.501060028	0.013899798	2075	3344
ENSRNOG00000047165	ENSRNOT00000073114	ENSRNOP00000065109	AABR07037412.2	AABR07037412.2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R6Q4]	-3.003041047	0.01577913	18.96	61.15
ENSRNOG00000004148	ENSRNOT00000005762	ENSRNOP00000005762	CDK17	Cdk17	cyclin-dependent kinase 17 [Source:RGD Symbol;Acc:1565593]	-1.493320949	0.016947755	2702	4332
ENSRNOG00000019215	ENSRNOT00000089241	ENSRNOP00000073673	CD151	Cd151	CD151 molecule (Raph blood group) [Source:RGD Symbol;Acc:621290]	-3.289661179	0.017583172	14.96	52.86
ENSRNOG00000053037	ENSRNOT00000091175	ENSRNOP00000070140	AABR07024139.1	AABR07024139.1	-	-1.934668881	0.017625706	83.02	172.45
ENSRNOG00000052445	ENSRNOT00000084282	ENSRNOP00000072042	KDM7A	Kdm7a	lysine (K)-specific demethylase 7A [Source:MGI Symbol;Acc:MGI:2443388]	-1.570501209	0.019037297	411	693
ENSRNOG00000026705	ENSRNOT00000079285	ENSRNOP00000072665	DGKI	Dgki	diacylglycerol kinase, iota [Source:RGD Symbol;Acc:735049]	-1.503868327	0.01929142	1152	1860
ENSRNOG00000022772	ENSRNOT00000036750	ENSRNOP00000031476	PRICKLE1	Prickle1	prickle homolog 1 (Drosophila) [Source:RGD Symbol;Acc:735090]	-1.491564043	0.01945805	2042	3270
ENSRNOG00000003479	ENSRNOT00000004621	ENSRNOP00000056744	RNF150	Rnf150	ring finger protein 150 [Source:RGD Symbol;Acc:1304572]	-1.528423291	0.019594098	674	1106
ENSRNOG00000025372	ENSRNOT00000038641	ENSRNOP00000037789	GLCE	Glce	glucuronic acid epimerase [Source:RGD Symbol;Acc:1565253]	-1.554389069	0.021555024	462	771
ENSRNOG00000046120	ENSRNOT00000028960	ENSRNOP00000029819	UCHL3	Uchl3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) [Source:RGD Symbol;Acc:1561196]	-1340.567954	0.022024471	0	13.88
ENSRNOG00000011310	ENSRNOT00000067142	ENSRNOP00000060834	PDE10A	Pde10a	phosphodiesterase 10A [Source:RGD Symbol;Acc:68434]	-1.504685933	0.022197238	996	1609
ENSRNOG00000026679	ENSRNOT00000030152	ENSRNOP00000033284	SCN4B	Scn4b	sodium channel, voltage-gated, type IV, beta subunit [Source:RGD Symbol;Acc:631404]	-1.52777452	0.022700873	631	1035
ENSRNOG00000002053	ENSRNOT00000002814	ENSRNOP00000002814	FRAS1	Fras1	Fraser extracellular matrix complex subunit 1 [Source:RGD Symbol;Acc:1306516]	-1.547836287	0.023602439	479	796
ENSRNOG00000004870	ENSRNOT00000087793	ENSRNOP00000072484	DYRK3	Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3 [Source:RGD Symbol;Acc:1310924]	-1.906590578	0.023630933	85	174
ENSRNOG00000020774	ENSRNOT00000074580	ENSRNOP00000064739	ZFP383	Zfp383	zinc finger protein 383 [Source:RGD Symbol;Acc:2318764]	-3.706378189	0.024167938	10.98	43.72
ENSRNOG00000047817	ENSRNOT00000074868	ENSRNOP00000065000	ENOX1	Enox1	ecto-NOX disulfide-thiol exchanger 1 [Source:RGD Symbol;Acc:1306118]	-1.554498903	0.024706181	438	731
ENSRNOG00000049975	ENSRNOT00000072132	ENSRNOP00000067608	ZFP46	Zfp46	zinc finger protein 46 [Source:RGD Symbol;Acc:1310584]	-1.506658069	0.024721742	876	1417
ENSRNOG00000046327	ENSRNOT00000071929	ENSRNOP00000065485	RBPJ	Rbpj	recombination signal binding protein for immunoglobulin kappa J region [Source:RGD Symbol;Acc:1593096]	-1.503234363	0.025175299	935	1509
ENSRNOG00000031061	ENSRNOT00000040851	ENSRNOP00000046600	LOC306079	LOC306079	similar to RIKEN cDNA 3100001N19 [Source:RGD Symbol;Acc:1564564]	-6.311599075	0.027626385	4	27.16
ENSRNOG00000032922	ENSRNOT00000072110	ENSRNOP00000067781	DCLK1	Dclk1	doublecortin-like kinase 1 [Source:RGD Symbol;Acc:68437]	-1.490912476	0.027634741	12844	20559
ENSRNOG00000037085	ENSRNOT00000055888	ENSRNOP00000052739	XIRP1	Xirp1	xin actin-binding repeat containing 1 [Source:RGD Symbol;Acc:1304776]	-2.382974329	0.028295365	34	87
ENSRNOG00000013042	ENSRNOT00000017411	ENSRNOP00000017411	HTR1B	Htr1b	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled [Source:RGD Symbol;Acc:2846]	-1.636158691	0.028796078	226	397
ENSRNOG00000006929	ENSRNOT00000009175	ENSRNOP00000009175	HNRNPLL	Hnrnpll	heterogeneous nuclear ribonucleoprotein L-like [Source:RGD Symbol;Acc:1305861]	-1.538958195	0.02914435	486	803
ENSRNOG00000026309	ENSRNOT00000051613	ENSRNOP00000051124	LRRC23	Lrrc23	leucine rich repeat containing 23 [Source:RGD Symbol;Acc:1304779]	-1292.312624	0.03002925	0	13.38
ENSRNOG00000045877	ENSRNOT00000060194	-	LOC100909544	LOC100909544	bromodomain-containing protein 2-like [Source:RGD Symbol;Acc:6502942]	-1.517006831	0.03430534	599.37	976.19
ENSRNOG00000020729	ENSRNOT00000028146	ENSRNOP00000028146	STC2	Stc2	stanniocalcin 2 [Source:RGD Symbol;Acc:621777]	-2.607385552	0.034809173	25	70
ENSRNOG00000047877	ENSRNOT00000071999	ENSRNOP00000067538	AABR07064622.1	AABR07064622.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0RD43]	-1.605931028	0.035314464	257.45	443.89
